episode,total_reward
0,730.0
1,545.0
2,735.0
3,710.0
4,605.0
5,815.0
6,570.0
7,620.0
8,605.0
9,905.0
10,1045.0
11,710.0
12,650.0
13,485.0
14,110.0
15,155.0
16,545.0
17,525.0
18,590.0
19,690.0
20,470.0
21,690.0
22,585.0
23,430.0
24,420.0
25,375.0
26,295.0
27,575.0
28,375.0
29,310.0
30,235.0
31,760.0
32,450.0
33,525.0
34,260.0
35,420.0
36,855.0
37,590.0
38,530.0
39,745.0
40,485.0
41,550.0
42,600.0
43,520.0
44,690.0
45,1010.0
46,695.0
47,735.0
48,755.0
49,770.0
50,640.0
51,755.0
52,740.0
53,620.0
54,515.0
55,745.0
56,880.0
57,690.0
58,750.0
59,765.0
60,630.0
61,920.0
62,765.0
63,615.0
64,930.0
65,450.0
66,610.0
67,945.0
68,745.0
69,625.0
70,635.0
71,720.0
72,905.0
73,650.0
74,685.0
75,645.0
76,950.0
77,700.0
78,860.0
79,770.0
80,965.0
81,910.0
82,800.0
83,730.0
84,705.0
85,815.0
86,1095.0
87,700.0
88,845.0
89,960.0
90,710.0
91,960.0
92,1215.0
93,940.0
94,560.0
95,715.0
96,1050.0
97,655.0
98,740.0
99,840.0
100,570.0
101,550.0
102,650.0
103,480.0
104,630.0
105,930.0
106,730.0
107,745.0
108,1075.0
109,815.0
110,980.0
111,1075.0
112,880.0
113,695.0
114,670.0
115,910.0
116,860.0
117,680.0
118,705.0
119,750.0
120,690.0
121,650.0
122,690.0
123,620.0
124,630.0
125,630.0
126,640.0
127,710.0
128,575.0
129,990.0
130,1045.0
131,600.0
132,620.0
133,850.0
134,550.0
135,655.0
136,575.0
137,465.0
138,525.0
139,530.0
140,775.0
141,570.0
142,995.0
143,635.0
144,780.0
145,785.0
146,1110.0
147,610.0
148,595.0
149,845.0
150,630.0
151,540.0
152,860.0
153,795.0
154,5.0
155,495.0
156,245.0
157,600.0
158,380.0
159,740.0
160,660.0
161,10.0
162,310.0
163,465.0
164,755.0
165,555.0
166,990.0
167,830.0
168,855.0
169,850.0
170,590.0
171,835.0
172,675.0
173,765.0
174,985.0
175,645.0
176,765.0
177,600.0
178,705.0
179,545.0
180,585.0
181,670.0
182,470.0
183,600.0
184,640.0
185,590.0
186,560.0
187,565.0
188,770.0
189,575.0
190,665.0
191,690.0
192,675.0
193,1030.0
194,835.0
195,695.0
196,770.0
197,950.0
198,660.0
199,935.0
200,670.0
201,930.0
202,775.0
203,710.0
204,815.0
205,715.0
206,650.0
207,930.0
208,600.0
209,575.0
210,845.0
211,620.0
212,705.0
213,1050.0
214,685.0
215,750.0
216,720.0
217,670.0
218,625.0
219,640.0
220,855.0
221,760.0
222,760.0
223,920.0
224,1035.0
225,865.0
226,605.0
227,680.0
228,890.0
229,725.0
230,975.0
231,650.0
232,655.0
233,910.0
234,715.0
235,920.0
236,755.0
237,1000.0
238,680.0
239,1180.0
240,880.0
241,935.0
242,840.0
243,780.0
244,645.0
245,780.0
246,780.0
247,780.0
248,780.0
249,675.0
250,780.0
251,645.0
252,780.0
253,780.0
254,750.0
255,780.0
256,750.0
257,645.0
258,675.0
259,700.0
260,730.0
261,690.0
262,755.0
263,740.0
264,955.0
265,665.0
266,695.0
267,720.0
268,850.0
269,560.0
270,510.0
271,750.0
272,730.0
273,705.0
274,525.0
275,540.0
276,700.0
277,685.0
278,715.0
279,645.0
280,725.0
281,630.0
282,645.0
283,1130.0
284,550.0
285,635.0
286,570.0
287,530.0
288,500.0
289,645.0
290,525.0
291,420.0
292,360.0
293,365.0
294,330.0
295,315.0
296,315.0
297,320.0
298,315.0
299,450.0
300,420.0
301,395.0
302,410.0
303,365.0
304,385.0
305,275.0
306,335.0
307,410.0
308,375.0
309,295.0
310,395.0
311,470.0
312,405.0
313,305.0
314,440.0
315,320.0
316,525.0
317,460.0
318,585.0
319,655.0
320,395.0
321,595.0
322,420.0
323,265.0
324,315.0
325,335.0
326,440.0
327,460.0
328,515.0
329,700.0
330,415.0
331,565.0
332,435.0
333,500.0
334,520.0
335,590.0
336,430.0
337,540.0
338,420.0
339,500.0
340,685.0
341,805.0
342,510.0
343,840.0
344,480.0
345,385.0
346,365.0
347,600.0
348,525.0
349,420.0
350,480.0
351,440.0
352,465.0
353,455.0
354,490.0
355,700.0
356,660.0
357,670.0
358,500.0
359,925.0
360,475.0
361,730.0
362,580.0
363,720.0
364,575.0
365,605.0
366,620.0
367,585.0
368,770.0
369,500.0
370,625.0
371,680.0
372,705.0
373,815.0
374,605.0
375,740.0
376,645.0
377,660.0
378,775.0
379,720.0
380,890.0
381,910.0
382,740.0
383,710.0
384,930.0
385,575.0
386,730.0
387,1170.0
388,935.0
389,455.0
390,930.0
391,690.0
392,705.0
393,740.0
394,695.0
395,575.0
396,660.0
397,605.0
398,580.0
399,1000.0
400,905.0
401,790.0
402,760.0
403,570.0
404,495.0
405,570.0
406,650.0
407,210.0
408,400.0
409,715.0
410,555.0
411,865.0
412,790.0
413,425.0
414,955.0
415,555.0
416,450.0
417,400.0
418,565.0
419,770.0
420,575.0
421,535.0
422,825.0
423,610.0
424,500.0
425,795.0
426,935.0
427,640.0
428,730.0
429,850.0
430,745.0
431,690.0
432,570.0
433,765.0
434,575.0
435,540.0
436,810.0
437,545.0
438,715.0
439,600.0
440,655.0
441,605.0
442,980.0
443,645.0
444,885.0
445,925.0
446,775.0
447,580.0
448,1105.0
449,845.0
450,585.0
451,685.0
452,1035.0
453,605.0
454,905.0
455,585.0
456,880.0
457,635.0
458,630.0
459,645.0
460,690.0
461,830.0
462,540.0
463,575.0
464,630.0
465,545.0
466,635.0
467,610.0
468,630.0
469,575.0
470,600.0
471,630.0
472,630.0
473,630.0
474,570.0
475,600.0
476,570.0
477,570.0
478,600.0
479,630.0
480,570.0
481,800.0
482,645.0
483,495.0
484,630.0
485,685.0
486,575.0
487,1030.0
488,775.0
489,575.0
490,800.0
491,855.0
492,835.0
493,855.0
494,670.0
495,835.0
496,855.0
497,760.0
498,760.0
499,785.0
